"","TRANSECT","TRAP_START","PeriodID","JulianDate","month","year","Trap.Effort","Woylie_Caps","Chuditch_Caps","Quenda_Caps","Koomal_Caps","Round","prop.2yrsburnt.500m.transect","prop.2yrsburnt.1km.transect","prop.great10yrs.unburnt.500m.transect","prop.great10yrs.unburnt.1km.transect","prop.great20yrs.unburnt.500m.transect","prop.great20yrs.unburnt.1km.transect","prop.burnttwice.500m.transect","prop.burntthree.500m.transect","tsf.cat.shannon.diversity","prop_burnt_transect","prop_moderate_transect","prop_severe_transect","severity_diversity","pa_severe_transect","prop.5yrsharvest.500m.transect","prop.20yrsharvest.500m.transect","prop.great20yrsharvest.500m.transect","prop.5yrsharvest.1km.transect","prop.20yrsharvest.1km.transect","prop.great20yrsharvest.1km.transect","tsh.shannon.diversity","Year","BaitIntensity.Transect.Twelve","Rain.TwelveMonths","Rain.PrvAutumn","mean.smNDVI","ndvi.monthly.anomaly","prop.pasture.1km","prop.pasture.5km","DistCentroidPasture","Distance.Assets","RoadLength1km","RoadLength5km","mean.annual.precip","rain.anomaly.twelve","valleys.prop.area","Quenda_PA","Woylie_Abundance","Woylie_SD","Koomal_Abundance","Koomal_SD","Chuditch_Abundance","Chuditch_SD"
"1","Balban",2004-11-16,10,321,11,2004,10000,134,0,0,4,"Nov_2004",0.396132987502947,0.399180700955849,0.593256307474652,0.553026854802003,0.0591841546804999,0.107874374146563,0.227069087479368,0,0.938539661705403,0.392415043759363,0.367657494283687,0.0247575494756761,1.04084545177211,1,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2004,22.660005569458,488.347015380859,168.954559326172,66.113662109375,-0.12866290992179,0.0153709725096069,0.184780470919576,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,-0.198415410552402,0.312481863212618,0,137.702,154,32.0123333333333,73.0250000000001,2.92266666666667,9
"2","Balban",2006-03-21,13,80,3,2006,10000,72,4,0,14,"Mar_2006",0.396132987502947,0.39792899408284,0.593256307474652,0.560992262175694,0.0591841546804999,0.107874374146563,0,0,0.854111595994521,0.392415043759363,0.367657494283687,0.0247575494756761,1.04084545177211,1,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2006,26.0592098236084,875.048095703125,310.678436279297,66.113662109375,0.0545072862778411,0.0161690806976057,0.184839473539292,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,0.436325085337225,0.312481863212618,0,79.3756666666667,91,81.08,163.025,7.03366666666667,13
"3","Balban",2007-03-27,15,86,3,2007,10000,42,0,1,73,"Mar_2007",0,0.011151570323168,0.593256307474652,0.550068274920346,0.0591841546804999,0.107874374146563,0,0,0.854111595994521,0,0,0,0,0,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2007,23.8875141143799,444.562652587891,69.7983779907227,66.113662109375,-0.0965275210154648,0.0160508424475318,0.17799910316018,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,-0.270284121465388,0.312481863212618,1,48.3386666666667,56,281.237,530,5.38833333333333,12
"4","Balban",2008-04-08,17,99,4,2008,10000,24,6,0,71,"Apr_2008",0,0.011151570323168,0.593256307474652,0.550068274920346,0.0591841546804999,0.107874374146563,0,0,0.854111595994521,0,0,0,0,0,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2008,17.0744667053223,595.973388671875,91.3486557006836,66.113662109375,-0.0203234979604766,0.0144841856340526,0.174506148072974,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,-0.0217548811931102,0.312481863212618,0,29.5093333333333,37,285.076,539,12.393,21
"5","Balban",2011-11-08,24,312,11,2011,10000,29,11,1,27,"Nov_2011",0.00165055411459561,0.00978607191624943,0.0205140297099741,0.0349340009103323,0.0188634755953784,0.0326581702321347,0.00117896722471115,0,0.106326970341858,0.00212883387211228,0.00165575967830955,0.000473074193802728,0.0181878372370868,1,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2011,34.6660118103027,713.643249511719,114.398918151855,66.113662109375,0.0528652928021624,0.0131244457582028,0.170615908679679,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,0.171391271278203,0.312481863212618,1,30.3993333333333,36,140.825666666667,272,34.941,52
"6","Balban",2012-04-24,25,115,4,2012,10000,25,28,0,50,"Apr_2012",0,0,0.0205140297099741,0.0357305416477014,0.0188634755953784,0.0326581702321347,0.00117896722471115,0,0.0983253339631486,0,0,0,0,0,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2012,36.6068344116211,687.2880859375,106.101608276367,66.113662109375,0.0657185898630748,0.0133018031333136,0.171780227042081,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,0.128131269050098,0.312481863212618,0,30.4113333333333,37,182.274333333333,348.025,43.636,59
"7","Balban",2012-11-06,26,311,11,2012,10000,42,4,0,45,"Nov_2012",0,0,0.0205140297099741,0.0357305416477014,0.0188634755953784,0.0326581702321347,0.00117896722471115,0,0.0983253339631486,0,0,0,0,0,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2012,35.9839172363281,507.255126953125,106.101608276367,66.113662109375,0.0409299376829682,0.0133018031333136,0.171780227042081,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,-0.167379179400127,0.312481863212618,0,46.269,53.0250000000001,184.261,356,29.61,45
"8","Balban",2013-04-16,27,106,4,2013,10000,49,15,0,71,"Apr_2013",0,0,0.0205140297099741,0.0357305416477014,0.0200424428200896,0.0347064178425125,0.00117896722471115,0,0.0983253339631486,0,0,0,0,0,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2013,31.8076438903809,577.569641113281,66.6502685546875,66.113662109375,0.0767698338246436,0.0133609222583506,0.175965479533958,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,-0.051963237067974,0.312481863212618,0,53.7516666666667,62,233.070666666667,438.025,29.077,43
"9","Balban",2013-11-05,28,309,11,2013,10000,55,8,0,47,"Nov_2013",0,0,0.0205140297099741,0.0357305416477014,0.0200424428200896,0.0347064178425125,0.00117896722471115,0,0.0983253339631486,0,0,0,0,0,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2013,48.8730735778809,710.220397949219,66.6502685546875,66.113662109375,-0.0252572631055729,0.0133609222583506,0.175965479533958,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,0.165772920027859,0.312481863212618,0,64.6283333333333,75.0250000000001,194.442666666667,368.05,21.6733333333333,34
"10","Balban",2014-03-11,29,70,3,2014,10000,91,7,2,59,"Mar_2014",0,0,0.0205140297099741,0.0357305416477014,0.0200424428200896,0.0347064178425125,0.00117896722471115,0,0.0967003314598349,0,0,0,0,0,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,2014,48.9242782592773,605.019348144531,150.805389404297,66.113662109375,-0.0334939313393687,0.0132131244457582,0.177176999992133,14.6538708867637,19272.16796875,40213.3308748106,308481.833589958,609.22705078125,-0.0069066247654679,0.312481863212618,1,97.0983333333333,106,225.801333333333,428.025,15.7396666666667,26
